Site_Number,Name,Lat,Long,Post_Code
1,J6-7 M6 Perry Barr Depot SB,52.533599,-1.9001382,B42 2AG
2,J6-7 M6 Perry Barr Depot NB,52.533132,-1.9006553,B42 2AG
3,J22-23 M6 Robbs Lane RCC (SB),53.46349,-2.6197735,WA12 0DS
4,J22-23 M6 Robbs Lane RCC (NB),53.462522,-2.6191419,WA12 0DS
5,J3-4 M27 Rownham Services EB,50.957731,-1.448288,SO16 8AN
6,J3-4 M27 Rownham Services wB,50.957124,-1.4492918,SO16 8AN
7,J16-17 M6 Sandbach services (NB),53.136319,-2.3365032,CW11 2WE
8,J16-17 M6 Sandbach services (SB),53.136663,-2.3355792,CW11 2TL
9,J14-15 M1 Newport Pagnell NB,52.083562,-0.751373,MK16 8DU
10,J11-12 M4 near Reading services (WB),51.421661,-1.0238674,RG30 3UF
11,J3-4 M5 Frankley services (NB),52.428565,-2.0185161,B32 4AR
12,J3-4 M5 Frankley services (SB),52.428457,-2.0177807,B32 4AR
13,J8-9 M62 Burtonwood Services (WB),53.415892,-2.6407015,WA5 3AX
14,J8-9 M62 Burtonwood Services (EB),53.417029,-2.6381909,WA5 3AX
15,J21-21A M1 Leicester Forest East NB,52.621866,-1.2081748,LE3 3PT
16,J21-21A M1 Leicester Forest East SB,52.622609,-1.2077182,LE3 3PT
17,J12-13 M40 Warwick Services NB,52.221059,-1.5110485,CV35 0AA
18,J12-13 M40 Warwick Services SB,52.21992,-1.5074161,CV35 0AA
19,J7-9 M20 NB emergency access /stanford,51.193096,0.78387064,TN27 0ET
20,J13-14 M5 Michael Wood Services NB,51.654205,-2.4354241,GL13 9JS
21,J13-14 Michaelwood Services sB,51.660382,-2.4205492,GL13 9JS
22,J22-23 M25 North WB,51.693275,-0.23907196,EN6 3LT
23,J62-63 A1(M) Durham (NB),54.797707,-1.5264388,DH1 1SR
24,J6-6 M60 Fellpark Road NB,53.414616,-2.2789541,M23 0EY
25,J38 M62/A63 EB,53.771253,-0.68647714,HU15 2RA
26,J9 A14 Pytchley depot,52.373761,-0.72036289,NN15 6XS
27,Blunts Farm Depot NB,51.669317,0.11678355,CM16 7NS
28,J13-14 M6 Doxey Depot NB,52.813368,-2.156023,ST18 9LG
29,J13-14 M6 Doxey Depot SB,52.811572,-2.1544884,ST18 9LG
30,J4-5 M2 Farthing Corner HA depot,51.34047,0.60508633,ME8 8PQ
31,J8-9 M23 HA Weatherhill Depot,51.178579,-0.12722716,RH6 9JF
32,A1(m) Fen Lane B1034 Stilton Cambs,52.488915,-0.28437743,PE7 3RW
33,A1(M) Branham Depot,53.858029,-1.3502223,LS24 9NN
34,A13 Clockhouse Lane Grays,51.494592,0.30406406,RM16 5UR
35,M5 nr M4 interchange Aztec West,51.543135,-2.5787202,BS32 4RR
36,M25 Bow Arrow Lane SB Dartford,51.447483,0.236422,DA2 6SJ
37,M25 Bow Arrow Lane NB Dartford,51.447483,0.235232,DA2 6SJ
38,M62  Station Road Thorpe,53.733882,-1.532938,WF3 2FH
A1,M6 near Walsall,52.598214,-2.015488,WS2 7JL
AB4,01_M1_J34-35SB_N,53.433297,-1.424569,S61 2DD
AB5,02_M1_J33-34SB_N,53.411959,-1.399297,S9 1UR
AB6,03_M1_J33-34SB_N,53.399956,-1.377538,S60 5EX
AB8,04_M1_J30-31NB_N,53.31648,-1.282114,S26 7XR
AB9,05_M1_J30-31SB_N,53.31479,-1.281992,S26 7XR
AB11,06_M1_J28-29SB_N,53.104028,-1.32579,DE55 2EH
AB15,07_M1_J28-29NB_N,53.13649,-1.330977,DE55 5SZ
AB16,08_M1_J28-29SB_N,53.145302,-1.329898,DE55 5NG
AB16A,09_M1_J28-29SB_N,53.145204,-1.328345,DE55 5NG
AB17,10_M1_J27-28SB_N,53.092432,-1.307081,NG16 6HW
AB18,11_M1_J34_UrbSB_N,53.412305,-1.394884,S9 1XF
M3J4,12_M3_J4 EB_N,51.315875,-0.759165,GU14 8ED
M3BC,13_M3_BC WB_N,51.327646,-0.732366,GU15 1HW
A556A,14 M56_J4-J3_NB_N,53.390287,-2.273758,M23 1PS
A556B,15 M56_J3_J4_SB_N,53.389533,-2.273407,M22 9HD
A556C,16 M56_J3-J2_NB_N,53.397802,-2.26582,M22 4UN
